"Date","Contract","Hours","Amount","Payment type"
"2023-09-16","Bootstrap5 Expert (34848691)","5.5","16.5",""
"2023-09-17","Bootstrap5 Expert (34848691)","4","12",""
"2023-09-21","Bootstrap5 Expert (34848691)","0.33333","1",""
"2023-10-23","Bootstrap5 Expert (34848691)","7.5","22.5",""
"2023-10-25","Bootstrap5 Expert (34848691)","4.5","13.5",""
"2023-10-26","Bootstrap5 Expert (34848691)","8.66667","26",""
"2023-10-27","Bootstrap5 Expert (34848691)","0.5","1.5",""
"2023-11-27","Bootstrap5 Expert (34848691)","2.66667","8",""
"2023-12-01","Looking for a developer to help with basic HTML code updates for an existing website (35559654)","","15","Fixed Price Payment"
"2023-12-10","HTML Front End Dev (35695275)","8.33333","125",""
"2023-12-11","Bootstrap5 Expert (34848691)","8.33333","25",""
"2023-12-11","HTML Front End Dev (35695275)","5.16667","77.5",""
"2023-12-12","HTML Front End Dev (35695275)","4.83333","72.5",""
"2023-12-13","HTML Front End Dev (35695275)","6","90",""
"2023-12-14","HTML Front End Dev (35695275)","3.33333","50",""
"2023-12-15","HTML Front End Dev (35695275)","5","75",""
"2023-12-16","HTML Front End Dev (35695275)","1","15",""
"2023-12-18","HTML Front End Dev (35695275)","4.66667","70",""
"2023-12-19","HTML Front End Dev (35695275)","0.5","7.5",""
"2023-12-20","HTML Front End Dev (35695275)","2.16667","32.5",""
"2023-12-21","HTML Front End Dev (35695275)","3.5","52.5",""
"2023-12-22","HTML Front End Dev (35695275)","1.33333","20",""
"2023-12-23","HTML Front End Dev (35695275)","1","15",""
"2023-12-24","HTML Front End Dev (35695275)","1","15",""
"2023-12-25","HTML Front End Dev (35695275)","0.83333","12.5",""
"2024-02-05","HTML Front End Dev (35695275)","2.16667","32.5",""
"2024-02-06","HTML Front End Dev (35695275)","0.16667","2.5",""
"2024-02-26","HTML Page Builder (36473604)","1.33333","4",""
"2024-02-27","HTML Page Builder (36473604)","7","21",""
"2024-02-28","HTML Page Builder (36473604)","1","3",""
"2024-02-29","HTML Page Builder (36473604)","5.66667","17",""
"2024-03-01","HTML Page Builder (36473604)","3.5","10.5",""
"2024-03-02","HTML Page Builder (36473604)","1.5","4.5",""
"2024-03-04","HTML Page Builder (36473604)","4.5","13.5",""
"2024-03-06","HTML Page Builder (36473604)","5.83333","17.5",""
"2024-03-10","HTML Page Builder (36473604)","2","6",""
"2024-03-11","HTML Page Builder (36473604)","3.66667","11",""
"2024-03-12","HTML Page Builder (36473604)","2","6",""
"2024-03-13","HTML Page Builder (36473604)","5","15",""
"2024-03-15","HTML Page Builder (36473604)","0.33333","1",""
"2024-03-16","HTML Page Builder (36473604)","6","18",""
"2024-03-17","HTML Page Builder (36473604)","3","9",""
"2024-03-18","HTML Page Builder (36473604)","4.5","13.5",""
"2024-03-20","HTML Page Builder (36473604)","1.83333","5.5",""
"2024-03-21","HTML Page Builder (36473604)","3.33333","10",""
"2024-03-23","HTML Page Builder (36473604)","2.16667","6.5",""
"2024-03-24","HTML Page Builder (36473604)","8.16667","24.5",""
"2024-03-27","HTML Page Builder (36473604)","6.16667","18.5",""
"2024-03-29","HTML Page Builder (36473604)","2","6",""
"2024-03-31","HTML Page Builder (36473604)","9.33333","28",""
"2024-04-01","HTML Page Builder (36473604)","0.66667","2",""
"2024-04-03","HTML Page Builder (36473604)","5.66667","17",""
"2024-04-04","HTML Page Builder (36473604)","2.66667","8",""
"2024-04-04","Mini Site Creation (36873991)","2.33333","23.33",""
"2024-04-05","HTML Page Builder (36473604)","3.16667","9.5",""
"2024-04-05","Mini Site Creation (36873991)","3.83333","38.33",""
"2024-04-06","HTML Page Builder (36473604)","3","9",""
"2024-04-06","Mini Site Creation (36873991)","1","10",""
"2024-04-07","HTML Page Builder (36473604)","4.83333","14.5",""
"2024-04-07","Mini Site Creation (36873991)","0.5","5",""
"2024-04-08","Mini Site Creation (36873991)","0.33333","3.33",""
"2024-04-09","Mini Site Creation (36873991)","2.16667","21.67",""
"2024-04-11","Mini Site Creation (36873991)","2","20",""
"2024-04-13","Mini Site Creation (36873991)","1.16667","11.67",""
"2024-04-14","Mini Site Creation (36873991)","1.5","15",""
"2024-04-15","HTML Front End Dev (35695275)","1","15",""
"2024-04-15","Mini Site Creation (36873991)","2","20",""
"2024-04-16","HTML Front End Dev (35695275)","5","75",""
"2024-04-16","HTML Page Builder (36473604)","0.16667","0.5",""
"2024-04-16","Mini Site Creation (36873991)","","10","Bonus"
"2024-04-16","Mini Site Creation (36873991)","0.33333","3.33",""
"2024-04-18","HTML Page Builder (36473604)","2.16667","6.5",""
"2024-04-19","HTML Page Builder (36473604)","3.33333","10",""
"2024-04-21","HTML Front End Dev (35695275)","1.5","22.5",""
"2024-04-22","HTML Front End Dev (35695275)","0.5","7.5",""
"2024-04-22","HTML Page Builder (36473604)","2.83333","8.5",""
"2024-04-24","HTML Page Builder (36473604)","2.83333","8.5",""
"2024-04-25","HTML Front End Dev (35695275)","0.33333","5",""
"2024-04-25","HTML Page Builder (36473604)","1.5","4.5",""
"2024-04-26","HTML Page Builder (36473604)","1.5","4.5",""
"2024-04-27","HTML Page Builder (36473604)","1","3",""
"2024-04-28","HTML Front End Dev (35695275)","1","15",""
"2024-04-28","HTML Page Builder (36473604)","2","6",""
"2024-04-29","Fix font problem on mini site (37108658)","1.16667","11.67",""
"2024-04-29","HTML Page Builder (36473604)","0.83333","2.5",""
"2024-05-01","HTML Page Builder (36473604)","0.5","1.5",""
"2024-05-02","HTML Page Builder (36473604)","1.66667","5",""
"2024-05-04","HTML Page Builder (36473604)","5","15",""
"2024-05-05","HTML Page Builder (36473604)","2.16667","6.5",""
"2024-05-07","HTML Page Builder (36473604)","2","6",""
"2024-05-08","Fix font problem on mini site (37108658)","","1.75","Bonus"
"2024-05-08","HTML Page Builder (36473604)","6.33333","19",""
"2024-05-09","HTML Front End Dev (35695275)","0.66667","10",""
"2024-05-10","HTML Front End Dev (35695275)","3.16667","47.5",""
"2024-05-11","HTML Front End Dev (35695275)","5.5","82.5",""
"2024-05-12","HTML Front End Dev (35695275)","1.66667","25",""
"2024-05-13","HTML Front End Dev (35695275)","3.66667","55",""
"2024-05-14","HTML Front End Dev (35695275)","0.33333","5",""
"2024-05-15","HTML Front End Dev (35695275)","5","75",""
"2024-05-16","HTML Front End Dev (35695275)","0.83333","12.5",""
"2024-05-18","HTML Front End Dev (35695275)","4.16667","62.5",""
"2024-05-19","HTML Front End Dev (35695275)","0.33333","5",""
"2024-05-22","HTML Front End Dev (35695275)","6.33333","95",""
"2024-05-23","HTML Front End Dev (35695275)","1.16667","17.5",""
"2024-05-25","HTML Front End Dev (35695275)","4.5","67.5",""
"2024-05-26","HTML Front End Dev (35695275)","0.5","7.5",""
"2024-05-27","HTML Front End Dev (35695275)","1.16667","17.5",""
"2024-05-29","HTML Front End Dev (35695275)","1.5","22.5",""
"2024-06-01","HTML Front End Dev (35695275)","1.16667","17.5",""
"2024-06-02","HTML Front End Dev (35695275)","1.16667","17.5",""
"2024-06-04","HTML Front End Dev (35695275)","2.33333","35",""
"2024-06-05","HTML Page Builder (36473604)","1.16667","3.5",""
"2024-06-06","HTML Front End Dev (35695275)","1.66667","25",""
"2024-06-06","HTML Page Builder (36473604)","3.5","10.5",""
"2024-06-07","HTML Page Builder (36473604)","0.66667","2",""
"2024-06-08","HTML Front End Dev (35695275)","3.66667","55",""
"2024-06-08","HTML Page Builder (36473604)","1.5","4.5",""
"2024-06-09","HTML Page Builder (36473604)","1.16667","3.5",""
"2024-06-13","HTML Front End Dev (35695275)","3","45",""
"2024-06-15","HTML Front End Dev (35695275)","2.33333","35",""
"2024-06-16","HTML Page Builder (36473604)","0.16667","0.5",""
"2024-06-17","HTML Front End Dev (35695275)","0.33333","5",""
"2024-06-17","HTML Page Builder (36473604)","3.5","10.5",""
"2024-06-19","HTML Front End Dev (35695275)","2.83333","42.5",""
"2024-06-20","HTML Front End Dev (35695275)","1","15",""
"2024-06-21","HTML Page Builder (36473604)","2.33333","7",""
"2024-06-23","HTML Page Builder (36473604)","1.83333","5.5",""
"2024-06-24","HTML Page Builder (36473604)","3.16667","9.5",""
"2024-06-25","HTML Page Builder (36473604)","2","6",""
"2024-06-26","HTML Page Builder (36473604)","2.66667","8",""
"2024-06-27","HTML Page Builder (36473604)","2.16667","6.5",""
"2024-06-28","HTML Page Builder (36473604)","2.83333","8.5",""
"2024-06-30","HTML Page Builder (36473604)","1.83333","5.5",""
"2024-07-03","HTML Page Builder (36473604)","2.33333","7",""
"2024-07-04","HTML Page Builder (36473604)","0.33333","1",""
"2024-07-05","Re-layout and Improve HTML Page Design (37737695)","4.83333","72.5",""
"2024-07-06","Re-layout and Improve HTML Page Design (37737695)","0.16667","2.5",""
"2024-07-12","HTML Page Builder (36473604)","3.33333","10",""
"2024-07-16","Re-layout and Improve HTML Page Design (37737695)","0.33333","5",""
"2024-07-17","Re-layout and Improve HTML Page Design (37737695)","1.33333","20",""
"2024-07-18","Re-layout and Improve HTML Page Design (37737695)","8","120",""
"2024-07-19","Re-layout and Improve HTML Page Design (37737695)","2.5","37.5",""
"2024-07-20","HTML Page Builder (36473604)","2.16667","6.5",""
"2024-07-20","Re-layout and Improve HTML Page Design (37737695)","1","15",""
"2024-07-21","Re-layout and Improve HTML Page Design (37737695)","0.33333","5",""
"2024-07-22","HTML Page Builder (36473604)","1.16667","3.5",""
"2024-07-24","Re-layout and Improve HTML Page Design (37737695)","0.33333","5",""
"2024-07-25","Re-layout and Improve HTML Page Design (37737695)","2","30",""
"2024-07-27","Re-layout and Improve HTML Page Design (37737695)","4.66667","70",""
"2024-07-28","Re-layout and Improve HTML Page Design (37737695)","0.33333","5",""
"2024-07-29","HTML Page Builder (36473604)","3","9",""
"2024-07-29","Re-layout and Improve HTML Page Design (37737695)","2.66667","40",""
"2024-08-30","Frontend developer needed for script rendering on tapalytics platform (38236294)","0.5","7.5",""
"2024-08-31","Frontend developer needed for script rendering on tapalytics platform (38236294)","3.33333","50",""
"2024-09-01","Frontend developer needed for script rendering on tapalytics platform (38236294)","5.5","82.5",""
"2024-09-02","Frontend developer needed for script rendering on tapalytics platform (38236294)","","45","Bonus"
"2024-09-02","Frontend developer needed for script rendering on tapalytics platform (38236294)","0.33333","5",""
"2024-09-12","Re-layout and Improve HTML Page Design (37737695)","3.66667","55",""
"2024-09-13","Re-layout and Improve HTML Page Design (37737695)","0.5","7.5",""
"2024-09-18","Re-layout and Improve HTML Page Design (37737695)","1.33333","20",""
"2024-09-19","Re-layout and Improve HTML Page Design (37737695)","2.5","37.5",""
"2024-09-21","Re-layout and Improve HTML Page Design (37737695)","5.16667","77.5",""
"2024-09-26","Re-layout and Improve HTML Page Design (37737695)","0.33333","5",""
"2024-09-27","Re-layout and Improve HTML Page Design (37737695)","3.5","52.5",""
"2024-09-29","Re-layout and Improve HTML Page Design (37737695)","4.16667","62.5",""
"2024-10-11","Re-layout and Improve HTML Page Design (37737695)","4.66667","70",""
"2024-10-14","Re-layout and Improve HTML Page Design (37737695)","4.33333","65",""
"2024-10-16","Re-layout and Improve HTML Page Design (37737695)","2.66667","40",""
"2024-10-17","Re-layout and Improve HTML Page Design (37737695)","2","30",""
"2024-10-19","Re-layout and Improve HTML Page Design (37737695)","0.33333","5",""
"2024-11-01","Re-layout and Improve HTML Page Design (37737695)","1.5","22.5",""
"2024-11-22","Re-layout and Improve HTML Page Design (37737695)","2.66667","40",""
"2024-11-23","Re-layout and Improve HTML Page Design (37737695)","2.66667","40",""
"2024-11-24","Re-layout and Improve HTML Page Design (37737695)","1","15",""
"2024-12-30","Frontend Developer: Figma to Tailwind CSS (39343332)","","100","Fixed Price Payment"
"2025-01-15","Re-layout and Improve HTML Page Design (37737695)","1.33333","20",""
"2025-01-16","Re-layout and Improve HTML Page Design (37737695)","1.33333","20",""
"2025-01-17","Re-layout and Improve HTML Page Design (37737695)","2.16667","32.5",""
"2025-01-18","Re-layout and Improve HTML Page Design (37737695)","0.33333","5",""
"2025-02-11","React Developer for Crypto Sales Dashboard (39725429)","1","6",""
"2025-02-12","React Developer for Crypto Sales Dashboard (39725429)","2.66667","16",""
"2025-02-13","React Developer for Crypto Sales Dashboard (39725429)","5.16667","31",""
"2025-02-14","React Developer for Crypto Sales Dashboard (39725429)","1.5","9",""
"2025-02-15","React Developer for Crypto Sales Dashboard (39725429)","5","30",""
"2025-02-16","React Developer for Crypto Sales Dashboard (39725429)","1.66667","10",""
"2025-02-19","React Developer for Crypto Sales Dashboard (39725429)","","20","Bonus"
"2025-02-19","React Developer for Crypto Sales Dashboard (39725429)","1.5","9",""
"2025-02-20","React Developer for Crypto Sales Dashboard (39725429)","2.16667","13",""
"2025-02-21","React Developer for Crypto Sales Dashboard (39725429)","0.66667","4",""
"2025-02-22","React Developer for Crypto Sales Dashboard (39725429)","1.33333","8",""
"2025-02-24","React Developer for Crypto Sales Dashboard (39725429)","3","18",""
"2025-02-26","React Developer for Crypto Sales Dashboard (39725429)","5","30",""
"2025-02-27","React Developer for Crypto Sales Dashboard (39725429)","","30","Bonus"
"2025-02-27","React Developer for Crypto Sales Dashboard (39725429)","0.33333","2",""
"2025-02-28","React Developer for Crypto Sales Dashboard (39725429)","3","18",""
"2025-03-06","React Developer for Crypto Sales Dashboard (39725429)","1","6",""
"2025-03-08","React Developer for Crypto Sales Dashboard (39725429)","1","6",""
"2025-03-10","React Developer for Crypto Sales Dashboard (39725429)","0.66667","4",""
"2025-03-12","React Developer for Crypto Sales Dashboard (39725429)","1.33333","8",""
"2025-03-13","React Developer for Crypto Sales Dashboard (39725429)","4.33333","26",""
"2025-03-15","React Developer for Crypto Sales Dashboard (39725429)","","25","Bonus"
"2025-03-17","React Developer for Crypto Sales Dashboard (39725429)","2.33333","14",""
"2025-03-18","React Developer for Crypto Sales Dashboard (39725429)","0.16667","1",""
"2025-03-19","React Developer for Crypto Sales Dashboard (39725429)","0.83333","5",""
"2025-03-20","React Developer for Crypto Sales Dashboard (39725429)","5","30",""
"2025-03-21","React Developer for Crypto Sales Dashboard (39725429)","3","18",""
"2025-03-22","React Developer for Crypto Sales Dashboard (39725429)","4.33333","26",""
"2025-03-23","React Developer for Crypto Sales Dashboard (39725429)","2.33333","14",""
"2025-03-24","React Developer for Crypto Sales Dashboard (39725429)","1","6",""
"2025-03-25","React Developer for Crypto Sales Dashboard (39725429)","4.5","27",""
"2025-03-26","React Developer for Crypto Sales Dashboard (39725429)","1.5","9",""
"2025-03-27","React Developer for Crypto Sales Dashboard (39725429)","","40","Bonus"
"2025-03-27","React Developer for Crypto Sales Dashboard (39725429)","3.66667","22",""
"2025-03-28","React Developer for Crypto Sales Dashboard (39725429)","0.66667","4",""
"2025-03-29","React Developer for Crypto Sales Dashboard (39725429)","1.33333","8",""
"2025-03-30","React Developer for Crypto Sales Dashboard (39725429)","0.66667","4",""
"2025-04-01","React Developer for Crypto Sales Dashboard (39725429)","2.16667","13",""
"2025-04-05","React Developer for Crypto Sales Dashboard (39725429)","1.5","9",""
"2025-04-06","React Developer for Crypto Sales Dashboard (39725429)","3.5","21",""
"2025-04-08","React Developer for Crypto Sales Dashboard (39725429)","3.5","21",""
"2025-04-10","React Developer for Crypto Sales Dashboard (39725429)","4.16667","25",""
"2025-04-11","React Developer for Crypto Sales Dashboard (39725429)","0.5","3",""
"2025-04-12","React Developer for Crypto Sales Dashboard (39725429)","1.16667","7",""
"2025-04-14","React Developer for Crypto Sales Dashboard (39725429)","5.66667","34",""
"2025-04-16","React Developer for Crypto Sales Dashboard (39725429)","4.5","27",""
"2025-04-17","React Developer for Crypto Sales Dashboard (39725429)","3","18",""
"2025-04-22","React Developer for Crypto Sales Dashboard (39725429)","0.33333","2",""
"2025-04-24","React Developer for Crypto Sales Dashboard (39725429)","1.16667","7",""
"2025-04-25","React Developer for Crypto Sales Dashboard (39725429)","0.33333","2",""
"2025-04-30","React Developer for Crypto Sales Dashboard (39725429)","1","6",""
"2025-05-02","React Developer for Crypto Sales Dashboard (39725429)","0.66667","4",""
"2025-05-07","React Developer for Crypto Sales Dashboard (39725429)","1","6",""
"2025-05-09","React Developer for Crypto Sales Dashboard (39725429)","0.83333","5",""
"2025-05-19","React Developer for Crypto Sales Dashboard (39725429)","2.5","15",""
"2025-05-21","React Developer for Crypto Sales Dashboard (39725429)","0.66667","4",""
"2025-05-22","React Developer for Crypto Sales Dashboard (39725429)","1.16667","7",""
"2025-05-23","React Developer for Crypto Sales Dashboard (39725429)","3","18",""
"2025-05-24","React Developer for Crypto Sales Dashboard (39725429)","0.33333","2",""
"2025-05-30","React Developer for Crypto Sales Dashboard (39725429)","0.16667","1",""
"2025-05-31","React Developer for Crypto Sales Dashboard (39725429)","0.66667","4",""
"2025-06-12","React Developer for Crypto Sales Dashboard (39725429)","2.16667","13",""
"2025-06-15","React Developer for Crypto Sales Dashboard (39725429)","3.5","21",""
"2025-06-16","React Developer for Crypto Sales Dashboard (39725429)","1.83333","11",""
"2025-06-20","React Developer for Crypto Sales Dashboard (39725429)","1.83333","11",""
"2025-06-28","React Developer for Crypto Sales Dashboard (39725429)","2.66667","16",""
"2025-07-01","React Developer for Crypto Sales Dashboard (39725429)","0.16667","1",""
"2025-07-07","React Developer for Crypto Sales Dashboard (39725429)","2.5","15",""
"2025-07-08","React Developer for Crypto Sales Dashboard (39725429)","2","12",""
"2025-07-11","Collaborative AI driven UI Demo development and upskilling needed (41054536)","3.66667","55",""
"2025-07-13","React Developer for Crypto Sales Dashboard (39725429)","3.5","21",""
"2025-07-15","Collaborative AI driven UI Demo development and upskilling needed (41054536)","2.33333","35",""
"2025-07-16","React Developer for Crypto Sales Dashboard (39725429)","2.33333","14",""